Gene	Bc	Ac	Cc	Ai	Bi	Ci
TPRE000001	0	1	0	0	0	0
TPRE000002	5907	1679	3522	3244	3165	5024
TPRE000003	2883	1279	2257	1891	1924	3241
TPRE000004	0	0	0	0	0	0
TPRE000005	0	0	0	0	0	0
TPRE000006	0	0	0	0	1	0
TPRE000007	0	0	0	0	1	2
TPRE000008	9	9	31	9	7	12
TPRE000009	222	301	493	295	345	390
TPRE000010	274	251	444	324	310	445
TPRE000011	84	118	196	118	171	169
TPRE000012	208	332	429	345	332	432
TPRE000013	1916	1816	2081	1777	1895	2010
TPRE000014	3064	3220	3918	3499	3861	5026
TPRE000015	4088	5222	5089	4168	4604	5359
TPRE000016	69	48	81	53	63	63
TPRE000017	2843	4530	5995	3992	4208	5281
TPRE000018	71	108	96	63	90	96
TPRE000019	502	447	411	376	477	487
TPRE000020	13165	17341	22917	16426	17594	23391
TPRE000021	129	187	234	205	195	260
TPRE000022	1056	1506	1992	1402	1579	1763
TPRE000023	2187	2235	2588	2177	2377	2963
TPRE000024	1353	1378	1304	934	1317	1560
TPRE000025	1737	2150	2338	1583	1979	2291
TPRE000026	509	518	642	668	738	872
TPRE000027	507	543	829	575	587	904
TPRE000028	2128	2576	3227	2440	2683	3436
TPRE000029	2549	3535	3480	2604	2866	3419
TPRE000030	2004	2131	1946	1483	1881	2048
TPRE000031	10376	5477	6837	5632	6544	6990
TPRE000032	375	298	293	244	284	338
TPRE000033	842	1178	1264	963	1192	1311
TPRE000034	3049	2552	3354	2694	2743	3420
TPRE000035	2220	2250	2908	2158	2505	2850
TPRE000036	513	428	542	455	471	530
TPRE000037	1404	440	938	799	955	911
TPRE000038	38	0	4	6	1	3
TPRE000039	119	127	168	167	172	149
TPRE000040	146	119	182	189	205	264
TPRE000041	1016	1074	1352	1149	1335	1579
TPRE000042	6849	3310	4701	4816	5201	6443
TPRE000043	111	209	233	144	163	209
TPRE000044	361	595	519	341	421	427
TPRE000045	642	948	1323	888	909	1142
TPRE000046	7	12	13	12	7	18
TPRE000047	4153	5030	7201	5139	5503	7173
TPRE000048	5534	9117	12498	8045	9292	10209
TPRE000049	37	96	90	60	37	86
TPRE000050	9833	13717	18541	12278	14511	17895
TPRE000051	3378	3786	3253	2340	2899	3636
TPRE000052	2945	3145	4026	2887	3251	3943
TPRE000053	124	86	103	73	90	90
TPRE000054	381	476	549	438	606	610
TPRE000055	1582	1647	1551	1273	1523	1670
TPRE000056	5005	5984	6560	5175	5778	6039
TPRE000057	338	320	392	320	349	463
TPRE000058	14408	4404	12936	9333	12112	13126
TPRE000059	3797	3924	6222	4445	4825	5819
TPRE000060	4	2	8	3	5	3
TPRE000061	591	765	1017	758	829	1079
TPRE000062	2358	3147	3488	2581	3169	3298
TPRE000063	2749	3594	4010	3054	3515	3683
TPRE000064	10	19	13	15	9	15
TPRE000065	933	1042	912	716	862	993
TPRE000066	946	778	898	619	657	993
TPRE000067	880	1193	1265	1013	1031	1374
TPRE000068	2	19	16	11	10	21
TPRE000069	747	962	1018	990	1123	1113
TPRE000070	104	118	118	75	98	119
TPRE000071	1573	1660	2020	1521	1617	2003
TPRE000072	996	946	768	470	653	815
TPRE000073	16	21	24	15	21	34
TPRE000074	4163	5279	5678	4348	4596	5565
TPRE000075	1630	1623	1500	1191	1348	1687
TPRE000076	5247	6306	6945	4987	5406	6987
TPRE000077	17	38	25	32	30	49
TPRE000078	2180	2205	2341	1471	1987	2379
TPRE000079	57	66	69	53	77	140
TPRE000080	4096	4522	5084	4528	3883	7461
TPRE000081	667	699	738	634	708	895
TPRE000082	6265	7674	7298	5132	5803	7024
TPRE000083	1594	2080	2722	1901	2111	2462
TPRE000084	708	724	659	488	596	732
TPRE000085	416	388	463	349	343	518
TPRE000086	590	860	912	791	969	1055
TPRE000087	31	6	29	18	15	33
TPRE000088	46	77	98	68	61	123
TPRE000089	30	16	61	51	23	47
TPRE000090	0	0	0	0	0	0
TPRE000091	90	99	137	98	94	144
TPRE000092	630	680	1050	733	780	1080
TPRE000093	1588	2063	2973	2244	2133	3034
TPRE000094	4654	5552	6504	5724	4818	7765
TPRE000095	320	391	442	407	396	492
TPRE000096	69	93	96	98	70	131
TPRE000097	284	403	455	400	378	621
TPRE000098	253	340	497	442	426	783
TPRE000099	263	391	617	498	473	815
TPRE000100	851	1117	1320	1049	1069	1536
TPRE000101	0	0	0	0	2	2
TPRE000102	0	1	4	3	1	0
TPRE000103	0	2	3	1	3	1
TPRE000104	0	0	0	0	0	0
TPRE000105	0	0	0	0	3	0
TPRE000106	415	500	498	424	408	480
TPRE000107	0	0	0	0	0	0
TPRE000108	429	456	469	402	416	537
TPRE000109	331	328	374	290	330	339
TPRE000110	2843	3657	3290	2443	3105	3569
TPRE000111	4	0	1	0	0	3
TPRE000112	1157	719	769	751	753	1012
TPRE000113	0	0	0	0	0	0
TPRE000114	0	0	2	0	0	0
TPRE000115	0	0	3	2	0	0
TPRE000116	674	773	1007	717	970	1038
TPRE000117	1454	1525	1243	1187	1318	1505
TPRE000118	0	0	0	0	0	0
TPRE000119	0	0	0	0	0	0
TPRE000120	0	0	0	0	0	0
TPRE000121	1424	1526	2201	1310	1583	1626
TPRE000122	108	158	142	100	133	121
TPRE000123	1689	2190	2007	1602	1739	1968
TPRE000124	1602	1782	1835	1539	1591	2250
TPRE000125	787	1220	1422	1005	1146	1168
TPRE000126	9554	13469	14120	9935	11714	13036
TPRE000127	1506	2021	1577	1156	1572	1709
TPRE000128	5241	3995	5162	3416	4073	4905
TPRE000129	114	190	164	133	142	174
TPRE000130	161	232	252	241	240	310
TPRE000131	4744	6492	6653	4822	5336	6154
TPRE000132	494	616	750	574	667	787
TPRE000133	501	556	648	515	651	751
TPRE000134	2771	3761	4077	2467	3092	3423
TPRE000135	2912	4421	6365	3830	4450	5473
TPRE000136	672	807	955	724	838	992
TPRE000137	448	528	428	365	429	478
TPRE000138	2	10	24	21	11	25
TPRE000139	308	421	511	351	386	524
TPRE000140	22	21	39	17	35	22
TPRE000141	2313	2689	2327	1754	2190	2635
TPRE000142	1103	1193	1332	1034	1200	1453
TPRE000143	10781	13825	12407	9494	10947	12280
TPRE000144	660	748	994	763	856	1019
TPRE000145	4272	6051	7476	5278	5624	6463
TPRE000146	1110	881	773	647	827	909
TPRE000147	1731	1622	1871	1590	1628	2114
TPRE000148	406	466	416	346	422	517
TPRE000149	2508	3012	2902	2408	2607	3239
TPRE000150	1928	1925	2527	2054	2340	2541
TPRE000151	627	592	610	447	560	603
TPRE000152	421	208	341	230	222	274
TPRE000153	10205	17024	23296	14142	18495	18837
TPRE000154	649	706	698	686	705	864
TPRE000155	46654	56431	68241	51860	55784	64776
TPRE000156	1210	1280	1306	1072	1183	1491
TPRE000157	3620	4705	5368	3717	4123	4953
TPRE000158	3033	1221	1973	1366	1765	1461
TPRE000159	589	555	695	582	705	702
TPRE000160	1773	2211	1887	1445	1651	1945
TPRE000161	2320	2939	2365	1586	1889	2332
TPRE000162	2747	3193	5034	3222	3655	4493
TPRE000163	171	126	242	160	186	281
TPRE000164	1541	1781	2249	1871	1963	2401
TPRE000165	4279	2798	3609	3523	3833	4314
TPRE000166	1668	1850	2033	1602	1647	2315
TPRE000167	77	152	191	147	181	201
TPRE000168	2249	1468	1220	1081	1392	1769
TPRE000169	158	337	421	315	307	474
TPRE000170	218	163	235	230	300	364
TPRE000171	3483	4369	4153	3184	4018	4354
TPRE000172	111	81	86	81	118	95
TPRE000173	5772	6316	6095	5060	5222	6861
TPRE000174	3340	3411	3685	3171	3292	4248
TPRE000175	55	28	34	53	40	83
TPRE000176	11	1	3	7	13	17
TPRE000177	0	0	0	0	0	0
TPRE000178	0	0	0	0	0	0
TPRE000179	0	0	0	1	0	0
TPRE000180	0	0	0	0	0	0
TPRE000181	0	0	0	0	0	4
TPRE000182	0	0	0	0	0	0
TPRE000183	0	0	0	0	1	0
TPRE000184	2	3	8	12	20	19
TPRE000185	31	17	18	16	18	14
TPRE000186	211	192	252	203	216	356
TPRE000187	1123	1762	1870	1179	1628	1904
TPRE000188	1566	2285	2657	1988	2189	2472
TPRE000189	1527	1444	1977	1584	1769	2186
TPRE000190	2851	3014	3198	2397	2835	3469
TPRE000191	530	533	528	425	573	567
TPRE000192	33	55	75	105	101	84
TPRE000193	185	234	225	201	234	208
TPRE000194	3001	3207	3534	2826	2966	4194
TPRE000195	7	11	20	15	10	26
TPRE000196	926	1128	1380	1142	1280	1594
TPRE000197	2313	1364	2617	1196	2010	2032
TPRE000198	1677	2163	2222	1562	2075	2382
TPRE000199	320	405	436	364	414	460
TPRE000200	4170	5904	7241	4990	5777	7428
TPRE000201	1055	1206	1406	1025	1138	1514
TPRE000202	4064	4073	4881	4003	3947	5592
TPRE000203	6756	11681	13831	8616	10361	11487
TPRE000204	1473	1733	2153	1341	1465	2015
TPRE000205	3436	4004	4604	3840	3921	5152
TPRE000206	2067	3140	3564	2608	2920	3548
TPRE000207	937	1316	1769	1248	1306	1406
TPRE000208	1078	1484	1827	1160	1357	1449
TPRE000209	2580	683	1143	1432	586	3471
TPRE000210	103	20	44	46	34	55
TPRE000211	3371	705	1198	1085	981	1343
TPRE000212	66	45	48	39	26	53
TPRE000213	986	1112	1129	1168	1143	1380
TPRE000214	641	648	632	483	529	691
TPRE000215	639	626	746	723	744	925
TPRE000216	1426	746	934	725	863	1079
TPRE000217	1580	1532	1963	1636	1740	2259
TPRE000218	1897	2781	3820	2675	2882	3564
TPRE000219	126	132	213	159	157	234
TPRE000220	285	355	426	214	300	424
TPRE000221	3071	4991	6003	4076	4991	5287
TPRE000222	14420	15770	22153	15132	17249	24533
TPRE000223	0	7	0	15	3	1
TPRE000224	0	0	0	0	0	0
TPRE000225	0	0	0	0	0	0
TPRE000226	2	1	1	0	3	1
TPRE000227	67	87	106	85	64	86
TPRE000228	996	995	938	730	890	1121
TPRE000229	30	54	38	51	44	80
TPRE000230	116	117	188	171	162	226
TPRE000231	193	218	362	260	302	424
TPRE000232	33	43	51	62	53	43
TPRE000233	43	27	67	49	68	67
TPRE000234	1396	1760	2496	1867	1979	2468
TPRE000235	45	39	58	42	51	57
TPRE000236	21030	21331	28603	19582	23400	28604
TPRE000237	470	569	512	379	368	407
TPRE000238	1540	1524	2011	1316	1530	1943
TPRE000239	152	127	118	86	173	158
TPRE000240	778	906	859	695	770	803
TPRE000241	18196	11426	22751	2508	2328	4629
TPRE000242	3588	4135	3779	2789	3349	3597
